row,location_id,lat,lon,first_file,index_right,country
0,345145,38.76949,-121.04871,records/csv.gz/locationid=345145/year=2023/month=10/location-345145-20231003.csv.gz,4.0,United States of America
1,1733177,38.30174,-122.42489,records/csv.gz/locationid=1733177/year=2024/month=03/location-1733177-20240310.csv.gz,4.0,United States of America
2,228823,29.743322,-95.23209,records/csv.gz/locationid=228823/year=2022/month=05/location-228823-20220527.csv.gz,4.0,United States of America
3,1289787,37.877457,-119.344376,records/csv.gz/locationid=1289787/year=2023/month=10/location-1289787-20231007.csv.gz,4.0,United States of America
4,1579264,49.263348,-123.15746,records/csv.gz/locationid=1579264/year=2023/month=10/location-1579264-20231003.csv.gz,3.0,Canada
5,1079966,47.866295,-121.815285,records/csv.gz/locationid=1079966/year=2023/month=10/location-1079966-20231003.csv.gz,4.0,United States of America
6,66653,37.571526,-122.33356,records/csv.gz/locationid=66653/year=2023/month=10/location-66653-20231003.csv.gz,4.0,United States of America
7,66608,38.908184,-121.06708,records/csv.gz/locationid=66608/year=2023/month=10/location-66608-20231003.csv.gz,4.0,United States of America
8,1513892,47.44315,-122.33818,records/csv.gz/locationid=1513892/year=2023/month=10/location-1513892-20231003.csv.gz,4.0,United States of America
9,63026,34.446327,-119.74282,records/csv.gz/locationid=63026/year=2023/month=10/location-63026-20231003.csv.gz,4.0,United States of America
10,71706,37.841007,-122.21695,records/csv.gz/locationid=71706/year=2023/month=10/location-71706-20231003.csv.gz,4.0,United States of America
11,67972,35.906796,-83.99019,records/csv.gz/locationid=67972/year=2023/month=10/location-67972-20231003.csv.gz,4.0,United States of America
12,70507,38.615288,-122.43399,records/csv.gz/locationid=70507/year=2023/month=10/location-70507-20231003.csv.gz,4.0,United States of America
13,1651967,35.0046,-76.839,records/csv.gz/locationid=1651967/year=2023/month=10/location-1651967-20231003.csv.gz,4.0,United States of America
14,231483,40.71572,-111.87558,records/csv.gz/locationid=231483/year=2023/month=10/location-231483-20231003.csv.gz,4.0,United States of America
15,70200,42.480385,-122.76749,records/csv.gz/locationid=70200/year=2023/month=10/location-70200-20231003.csv.gz,4.0,United States of America
16,64046,39.141495,-120.16872,records/csv.gz/locationid=64046/year=2022/month=07/location-64046-20220725.csv.gz,4.0,United States of America
17,1596242,47.956226,-124.38383,records/csv.gz/locationid=1596242/year=2023/month=10/location-1596242-20231003.csv.gz,4.0,United States of America
18,236509,38.75298,-121.26108,records/csv.gz/locationid=236509/year=2022/month=05/location-236509-20220527.csv.gz,4.0,United States of America
19,1599166,40.519592,-74.55149,records/csv.gz/locationid=1599166/year=2023/month=10/location-1599166-20231003.csv.gz,4.0,United States of America
20,2623561,36.215998,127.043263,records/csv.gz/locationid=2623561/year=2024/month=03/location-2623561-20240320.csv.gz,96.0,South Korea
21,1175656,41.844395,-72.03091,records/csv.gz/locationid=1175656/year=2023/month=10/location-1175656-20231003.csv.gz,4.0,United States of America
22,357691,41.602856,-93.64325,records/csv.gz/locationid=357691/year=2023/month=10/location-357691-20231003.csv.gz,4.0,United States of America
23,277668,-6.5851033,-6.5851033,records/csv.gz/locationid=277668/year=2022/month=01/location-277668-20220121.csv.gz,,
24,64462,38.553883,-121.756516,records/csv.gz/locationid=64462/year=2023/month=10/location-64462-20231003.csv.gz,4.0,United States of America
25,299821,42.263977,-71.79484,records/csv.gz/locationid=299821/year=2023/month=10/location-299821-20231003.csv.gz,4.0,United States of America
26,66603,37.927727,-122.07801,records/csv.gz/locationid=66603/year=2023/month=10/location-66603-20231003.csv.gz,4.0,United States of America
27,283534,39.96723,-105.15298,records/csv.gz/locationid=283534/year=2023/month=10/location-283534-20231003.csv.gz,4.0,United States of America
28,268156,42.161526,-122.98528,records/csv.gz/locationid=268156/year=2023/month=10/location-268156-20231003.csv.gz,4.0,United States of America
29,228545,37.285526,-121.97034,records/csv.gz/locationid=228545/year=2023/month=10/location-228545-20231003.csv.gz,4.0,United States of America
30,226826,37.52253,-122.34957,records/csv.gz/locationid=226826/year=2023/month=10/location-226826-20231003.csv.gz,4.0,United States of America
31,278469,35.8291635,35.8291635,records/csv.gz/locationid=278469/year=2022/month=02/location-278469-20220201.csv.gz,,
32,820545,38.918243,-77.00252,records/csv.gz/locationid=820545/year=2023/month=10/location-820545-20231003.csv.gz,4.0,United States of America
33,311119,44.941395,9.909199,records/csv.gz/locationid=311119/year=2023/month=10/location-311119-20231003.csv.gz,141.0,Italy
34,65897,38.250175,-122.63608,records/csv.gz/locationid=65897/year=2023/month=10/location-65897-20231003.csv.gz,4.0,United States of America
35,231973,39.72678,-104.99692,records/csv.gz/locationid=231973/year=2023/month=10/location-231973-20231003.csv.gz,4.0,United States of America
36,65550,39.69231,-104.97902,records/csv.gz/locationid=65550/year=2022/month=05/location-65550-20220527.csv.gz,4.0,United States of America
37,355937,47.659416,-117.425476,records/csv.gz/locationid=355937/year=2023/month=10/location-355937-20231003.csv.gz,4.0,United States of America
38,444391,47.637875,-122.39143,records/csv.gz/locationid=444391/year=2023/month=10/location-444391-20231003.csv.gz,4.0,United States of America
39,1284264,43.993717,-69.14087,records/csv.gz/locationid=1284264/year=2023/month=10/location-1284264-20231003.csv.gz,4.0,United States of America
40,1473408,51.625484,-124.14308,records/csv.gz/locationid=1473408/year=2023/month=10/location-1473408-20231003.csv.gz,3.0,Canada
41,1132734,-33.392162,149.08342,records/csv.gz/locationid=1132734/year=2023/month=10/location-1132734-20231003.csv.gz,137.0,Australia
42,63522,37.83023,-122.23996,records/csv.gz/locationid=63522/year=2023/month=10/location-63522-20231003.csv.gz,4.0,United States of America
